data-prix;data-idannonce;data-nb_chambres;data-nb_pieces;data-surface
2850;0;1;2 ;62
3101;0;2;3 ;98
4950;0;4;6 ;167
2338;0;2;3 ;82,5
2338;0;2;3 ;82,5
1800;0;1;2 ;55
5200;0;3;5 ;120
3258;0;3;4 ;114
3258;0;3;4 ;114
2350;0;1;2 ;60
4000;0;3;4 ;108
1206;0;1;2 ;40,45
2350;0;1;3 ;63
2789;0;2;3 ;95
3470;0;3;5 ;121,12
4200;0;2;3 ;103
2750;0;2;3 ;66
4132;0;3;5 ;117
4500;0;3;4 ;115
1330;0;1;2 ;34,46
4692;0;2;4 ;126,33
6738;0;4;7 ;200
1763;0;1;2 ;65
3500;0;2;4 ;90
4910;0;3;5 ;153
1400;0;1;2 ;43
2500;0;2;4 ;67,89
3800;0;3;5 ;125
2235;0;1;2 ;54
5500;0;3;4 ;160
3000;0;2;3 ;87
4665;0;3;4 ;149
3140;0;2;3 ;90
11253;0;4;7 ;277,15
2600;0;2;3 ;74
4500;0;3;5 ;135
6240;0;5;8 ;246
5330;0;4;5 ;151
1300;0;1;2 ;45
4500;0;2;4 ;98
1950;0;1;2 ;59
2000;0;1;2 ;49
1700;0;1;2 ;44
10343;0;5;7 ;318,2
1790;0;1;2 ;44,26
5100;0;2;3 ;118
1490;0;1;2 ;35,69
2500;0;2;3 ;58,4
3700;0;3;5 ;114
3706;0;2;4 ;107,76
1550;0;1;2 ;54
4330;0;4;5 ;158
4500;0;2;4 ;95,41
2900;0;1;3 ;60
4550;0;3;5 ;155
5500;0;3;5 ;130
3190;0;2;3 ;93
3000;0;2;4 ;84,45
4500;0;3;4 ;114
1272;0;1;2 ;23,65
4000;0;3;4 ;141
3280;0;4;5 ;108,51
1800;0;1;2 ;50
1850;0;1;2 ;55
1600;0;1;2 ;36,88
1530;0;1;2 ;37,18
1800;0;2;3 ;55
1590;0;1;2 ;39
6000;0;4;6 ;173
2230;0;2;4 ;76
1990;0;1;2 ;56
3645;0;3;4 ;91
2340;0;1;2 ;66,84
2500;0;2;4 ;90
2200;0;1;2 ;44
3600;0;2;4 ;100
2750;0;2;3 ;70
2315;0;2;4 ;84
2400;0;1;2 ;67
3500;0;2;4 ;65
2000;0;1;2 ;44
4000;0;3;4 ;108
2780;0;3;4 ;96
5950;0;2;4 ;114
4900;0;2;3 ;106
3330;0;2;3 ;104
3450;0;2;3 ;87,3
2900;0;1;2 ;55
2100;0;1;2 ;35
4100;0;2;3 ;75
3000;0;2;4 ;100
2167;0;2;3 ;77
1200;0;1;2 ;29
1600;0;1;2 ;57
3025;0;4;6 ;114
2910;0;3;4 ;94,71
1699;0;1;2 ;47
1700;0;2;3 ;63
1305;0;1;2 ;31,36
3200;0;2;3 ;86
13000;0;4;7 ;300
4690;0;2;3 ;101,1
2950;0;2;3 ;65
1507;0;1;3 ;79
6300;0;3;5 ;200
3100;0;1;2 ;62
3090;0;3;4 ;89
4130;0;3;4 ;110,58
3760;0;3;5 ;127
1144;0;1;2 ;34,14
2145;0;2;3 ;55
2595;0;2;3 ;85,58
4210;0;3;5 ;119
2070;0;1;2 ;48
1035;0;1;2 ;32
21000;0;4;6 ;280
2850;0;1;2 ;62
1900;0;1;2 ;43
2000;0;1;2 ;50
3900;0;3;4 ;116
2194;0;2;3 ;72
2972;0;3;4 ;83
7500;0;5;8 ;226
3500;0;2;4 ;85
1750;0;1;2 ;42
2420;0;2;3 ;62
3040;0;3;4 ;107
8500;0;4;6 ;167
1514;0;1;2 ;41
4460;0;4;6 ;130
6000;0;2;3 ;120
1995;0;2;3 ;57
2200;0;1;2 ;55
2320;0;1;3 ;69
2000;0;1;2 ;35,17
5000;0;4;7 ;174
2230;0;2;4 ;76
1990;0;1;2 ;56
3700;0;3;5 ;111
10000;0;3;5 ;182
3645;0;3;4 ;91
2500;0;1;2 ;63
1564;0;1;2 ;55
1000;0;1;2 ;34
3500;0;2;4 ;97
1510;0;1;2 ;42
1650;0;1;2 ;42
1600;0;1;2 ;47
1830;0;1;2 ;44
15000;0;3;5 ;250
3999;0;2;3 ;100
1350;0;1;2 ;44,08
1495;0;1;2 ;50
2900;0;2;3 ;82
2000;0;2;3 ;53
3100;0;2;4 ;98
2500;0;1;2 ;54
1790;0;2;3 ;67
1948;0;2;3 ;73
2395;0;3;4 ;79
3205;0;2;4 ;100,18
2400;0;3;4 ;79
3180;0;2;3 ;77,09
4000;0;2;3 ;84,18
1590;0;1;2 ;49
4641;0;2;3 ;110
950;0;1;2 ;24
1250;0;1;2 ;31
2990;0;1;2 ;55
1320;0;1;2 ;42
4500;0;3;4 ;115
3900;0;2;3 ;100,39
1180;0;1;2 ;42
1875;0;2;3 ;55
4300;0;3;5 ;116
2340;0;1;2 ;75
10343;0;5;7 ;318,2
2200;0;1;2 ;50
4400;0;2;3 ;115
6950;0;4;6 ;155
2500;0;2;3 ;58,4
3700;0;3;5 ;114
3000;0;2;4 ;70
6700;0;4;7 ;124
5900;0;2;3 ;114
5800;0;2;3 ;73
4000;0;2;3 ;75
1750;0;1;2 ;50
3565;0;2;5 ;114
2600;0;1;2 ;35
1569;0;1;2 ;53
3500;0;2;3 ;95
2160;0;1;2 ;45
4200;0;4;6 ;142
2200;0;1;2 ;65
8700;0;4;5 ;165
1600;0;1;2 ;40
2300;0;1;2 ;52
10000;0;2;5 ;137
2200;0;1;3 ;62
2764;0;2;3 ;87
2183;0;1;3 ;67
1750;0;1;3 ;61
