data-prix;data-idannonce;data-nb_chambres;data-nb_pieces;data-surface;data-link
798000;0;3;5 ;102;https://www.seloger.com/annonces/achat/appartement/meudon-92/bas-meudon/154013845.htm
664000;0;2;3 ;75;https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/flandre-aubervilliers/156588603.htm
577000;0;2;4 ;84;https://www.seloger.com/annonces/achat/appartement/enghien-les-bains-95/residentiel-place-verdun/157373725.htm
640000;0;1;3 ;53;https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/159178773.htm
350000;0;1;2 ;22,3;https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/grandes-carrieres-clichy/159233033.htm
749000;0;2;3 ;56;https://www.seloger.com/annonces/achat/appartement/paris-13eme-75/croulebarbe/159261511.htm
768000;0;2;4 ;88,17;https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/belleville/153780159.htm
830000;0;2;3 ;73,88;https://www.seloger.com/annonces/achat/appartement/levallois-perret-92/georges-pompidou/157468763.htm
530000;0;3;4 ;78,56;https://www.seloger.com/annonces/achat/appartement/saint-ouen-93/debain-michelet-bauer/158898929.htm
420000;0;2;3 ;57;https://www.seloger.com/annonces/achat/appartement/saint-ouen-93/vieux-saint-ouen/158898931.htm
578000;0;2;3 ;61,12;https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/la-chapelle-marx-dormoy/156783013.htm
146000;0;2;3 ;44;https://www.seloger.com/annonces/achat/appartement/taverny-95/centre-ancien-est/154966893.htm
655000;0;3;4 ;112;https://www.seloger.com/annonces/achat/appartement/versailles-78/clagny-glatigny/158816067.htm
599000;0;3;5 ;82;https://www.seloger.com/annonces/achat/appartement/boulogne-billancourt-92/grenier-point-du-jour/158860857.htm
198200;0;1;3 ;75;https://www.seloger.com/annonces/achat/appartement/dampierre-en-yvelines-78/157758367.htm
235000;0;2;3 ;105;https://www.seloger.com/annonces/achat/appartement/saint-denis-93/centre-ville-basilique/157375369.htm
228000;0;1;2 ;43;https://www.seloger.com/annonces/achat/appartement/saint-denis-93/pleyel/157600521.htm
262500;0;3;5 ;97;https://www.seloger.com/annonces/achat/appartement/fontenay-le-fleury-78/marche-schweitzer/157741865.htm
465000;0;3;5 ;120;https://www.seloger.com/annonces/achat/appartement/montmorency-95/centre-montmorency-centre/150802209.htm
131400;0;1;2 ;34;https://www.seloger.com/annonces/achat/appartement/villeneuve-le-roi-94/val-d-ablon-zone-industrielle/151119923.htm
1379000;0;5;7 ;123,12;https://www.seloger.com/annonces/achat/appartement/paris-15eme-75/pasteur-montparnasse/155826611.htm
138000;0;1;2 ;56;https://www.seloger.com/annonces/achat/appartement/pontoise-95/centre-hospitalier/156153207.htm
151900;0;2;3 ;54;https://www.seloger.com/annonces/achat/appartement/etampes-91/saint-pierre/157501057.htm
184000;0;2;3 ;62,18;https://www.seloger.com/annonces/achat/appartement/triel-sur-seine-78/sud/131721237.htm
6300000;0;1;5 ;230;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-16eme-75/chaillot/140321175/#?cmp=INTSL_ListToDetail
170000;0;2;4 ;75,49;https://www.seloger.com/annonces/achat/appartement/verneuil-sur-seine-78/clairieres/141784461.htm
798000;0;2;4 ;78,96;https://www.seloger.com/annonces/achat/appartement/boulogne-billancourt-92/grenier-point-du-jour/147525051.htm
2800000;0;3;5 ;95;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-4eme-75/ile-saint-louis/147581675/#?cmp=INTSL_ListToDetail
189500;0;2;4 ;66,13;https://www.seloger.com/annonces/achat/appartement/choisy-le-roi-94/gondoles-nord-i/148921505.htm
975000;0;2;4 ;112;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/vincennes-94/150782701/#?cmp=INTSL_ListToDetail
165850;0;2;3 ;52,53;https://www.seloger.com/annonces/achat/appartement/triel-sur-seine-78/nord-et-ouest/150920569.htm
210000;0;2;3 ;60;https://www.seloger.com/annonces/achat/appartement/valenton-94/val-pompadour-l-etang-etendu/151627165.htm
173200;0;1;2 ;59,44;https://www.seloger.com/annonces/achat/appartement/maurepas-78/bois-nogent-agiot/152917517.htm
2640000;0;3;5 ;185;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-7eme-75/invalides/152953191/#?cmp=INTSL_ListToDetail
3890000;0;4;6 ;254,02;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/neuilly-sur-seine-92/charles-laffitte/145460471/#?cmp=INTSL_ListToDetail
339000;0;4;5 ;91;https://www.seloger.com/annonces/achat/appartement/chatou-78/europe-nord/146157789.htm
255900;0;2;3 ;54,93;https://www.seloger.com/annonces/achat/appartement/clamart-92/jardin-parisien/146399313.htm
5650000;0;4;9 ;377;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-16eme-75/muette-nord/146762213/#?cmp=INTSL_ListToDetail
215000;0;3;5 ;77;https://www.seloger.com/annonces/achat/appartement/carrieres-sous-poissy-78/147707651.htm
284900;0;2;4 ;78,66;https://www.seloger.com/annonces/achat/appartement/gif-sur-yvette-91/courcelles/150327675.htm
399000;0;2;3 ;66;https://www.seloger.com/annonces/achat/appartement/antony-92/guillebaud-beauv-vallon-les-rabats-antonypole/152597231.htm
190000;0;3;4 ;78;https://www.seloger.com/annonces/achat/appartement/boussy-saint-antoine-91/152660999.htm
365000;0;4;5 ;144,89;https://www.seloger.com/annonces/achat/appartement/romainville-93/cachin/153279749.htm
5300000;0;4;8 ;427,6;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-16eme-75/porte-dauphine/153299505/#?cmp=INTSL_ListToDetail
420000;0;4;5 ;92;https://www.seloger.com/annonces/achat/appartement/vitry-sur-seine-94/vitry-sud-ardoines/155102551.htm
715000;0;1;2 ;60,48;https://www.seloger.com/annonces/achat/appartement/paris-8eme-75/europe/155115449.htm
3750000;0;3;7 ;186,31;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-8eme-75/triangle-d-or/155309267/#?cmp=INTSL_ListToDetail
2995000;0;4;6 ;185;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-16eme-75/chaillot/155912301/#?cmp=INTSL_ListToDetail
415000;0;1;2 ;39;https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/secretan/156269965.htm
247900;0;2;3 ;69,86;https://www.seloger.com/annonces/achat/appartement/osny-95/la-meth/156655327.htm
229840;0;2;3 ;61,46;https://www.seloger.com/annonces/achat/appartement/brie-comte-robert-77/leclerc-centre-ouest/156695559.htm
1510000;0;3;4 ;126;https://www.seloger.com/annonces/achat-de-prestige/appartement/neuilly-sur-seine-92/la-plaine-des-sablons/156777627.htm
597000;0;3;4 ;86;https://www.seloger.com/annonces/achat/appartement/sevres-92/beau-site-pommerets-binelles/156914785.htm
269422;0;1;2 ;58;https://www.seloger.com/annonces/achat/appartement/lagny-sur-marne-77/tassigny-leclerc-centre/156914807.htm
299900;0;3;4 ;106,84;https://www.seloger.com/annonces/achat/appartement/saint-remy-les-chevreuse-78/nord-yvette/157389465.htm
645000;0;3;4 ;77,03;https://www.seloger.com/annonces/achat/appartement/la-garenne-colombes-92/chateau-ridel/157408283.htm
459800;0;1;2 ;42,24;https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/buttes-chaumont/157655237.htm
223000;0;2;3 ;60;https://www.seloger.com/annonces/achat/appartement/sannois-95/garonnes/157891063.htm
1300000;0;4;5 ;126,47;https://www.seloger.com/annonces/achat-de-prestige/appartement/courbevoie-92/gambetta/158106657.htm
780000;0;2;3 ;74;https://www.seloger.com/annonces/achat/appartement/boulogne-billancourt-92/billancourt-rives-de-seine/154919881.htm
190000;0;2;4 ;79,11;https://www.seloger.com/annonces/achat/appartement/morangis-91/poirier-marle/155725863.htm
488250;0;1;2 ;54,63;https://www.seloger.com/annonces/achat/appartement/paris-15eme-75/georges-brassens/155727487.htm
395000;0;1;2 ;36;https://www.seloger.com/annonces/achat/appartement/paris-17eme-75/la-fourche-guy-moquet/156141837.htm
599000;0;2;3 ;91;https://www.seloger.com/annonces/achat/appartement/creteil-94/abbaye/156436013.htm
355000;0;2;3 ;73;https://www.seloger.com/annonces/achat/appartement/asnieres-sur-seine-92/hauts-d-asnieres-argenteuil/156593361.htm
410000;0;3;5 ;116;https://www.seloger.com/annonces/achat/appartement/carrieres-sous-poissy-78/le-village/156597145.htm
398000;0;1;2 ;28,08;https://www.seloger.com/annonces/achat/appartement/paris-11eme-75/156812541.htm
215000;0;4;5 ;95;https://www.seloger.com/annonces/achat/appartement/les-pavillons-sous-bois-93/calmanovic/156883923.htm
2980000;0;4;6 ;231,68;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-16eme-75/porte-dauphine/157144065/#?cmp=INTSL_ListToDetail
124000;0;2;4 ;66,16;https://www.seloger.com/annonces/achat/appartement/aubergenville-78/bois-bodin-haut-du-parc/157358433.htm
789000;0;2;3 ;80;https://www.seloger.com/annonces/achat/appartement/charenton-le-pont-94/plateau/157365597.htm
1198000;0;3;5 ;147;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/montreuil-93/bas-montreuil-republique/158888855/#?cmp=INTSL_ListToDetail
349000;0;2;3 ;63;https://www.seloger.com/annonces/achat/appartement/chatillon-92/conservatoire/158893635.htm
2590000;0;4;7 ;203,04;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-16eme-75/muette-nord/158900503/#?cmp=INTSL_ListToDetail
830000;0;2;3 ;58;https://www.seloger.com/annonces/achat-de-prestige/appartement/paris-17eme-75/courcelles-wagram/158917705.htm
470000;0;4;5 ;98;https://www.seloger.com/annonces/achat/appartement/vitry-sur-seine-94/coteau-malassis/158924885.htm
2150000;0;4;6 ;162;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-9eme-75/trudaine-maubeuge/158932489/#?cmp=INTSL_ListToDetail
129000;0;3;4 ;78;https://www.seloger.com/annonces/achat/appartement/boussy-saint-antoine-91/158942441.htm
239500;0;2;5 ;80;https://www.seloger.com/annonces/achat/appartement/conflans-sainte-honorine-78/romagne/158949045.htm
665000;0;1;2 ;45,03;https://www.seloger.com/annonces/achat-de-prestige/appartement/paris-15eme-75/dupleix-motte-picquet/158957023.htm
185900;0;3;4 ;81;https://www.seloger.com/annonces/achat/appartement/savigny-le-temple-77/centre/158964813.htm
875000;0;3;5 ;98;https://www.seloger.com/annonces/achat/appartement/paris-17eme-75/pereire-malesherbes/158967057.htm
278250;0;2;3 ;72,1;https://www.seloger.com/annonces/achat/appartement/montigny-le-bretonneux-78/le-manet-nord/158970281.htm
629500;0;2;3 ;64;https://www.seloger.com/annonces/achat/loft/paris-13eme-75/nationale-deux-moulins/158980743.htm
850000;0;2;3 ;77;https://www.seloger.com/annonces/achat/appartement/paris-9eme-75/lafayette-richer/159025273.htm
545000;0;1;2 ;42;https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/goutte-d-or-chateau-rouge/159029769.htm
485000;0;1;2 ;45;https://www.seloger.com/annonces/achat/appartement/neuilly-sur-seine-92/la-plaine-des-sablons/159035949.htm
270000;0;1;2 ;27,6;https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/gambetta/159037427.htm
2173000;0;5;7 ;200;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/neuilly-sur-seine-92/ile-de-la-jatte-parc-d-orleans/159043041/#?cmp=INTSL_ListToDetail
978000;0;2;3 ;80;https://www.seloger.com/annonces/achat/appartement/paris-10eme-75/chateau-d-eau-lancry/159049549.htm
2950000;0;6;8 ;245,03;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-8eme-75/mairie/159085099/#?cmp=INTSL_ListToDetail
730000;0;2;4 ;68;https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/telegraphe-pelleport-saint-fargeau/159086591.htm
2220000;0;5;8 ;255,65;https://www.bellesdemeures.com/annonces/vente/loft-luxe/montreuil-93/bas-montreuil-republique/159118053/#?cmp=INTSL_ListToDetail
700000;0;2;3 ;61;https://www.seloger.com/annonces/achat/appartement/neuilly-sur-seine-92/la-plaine-des-sablons/159121887.htm
659000;0;2;3 ;70;https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/bassin-de-la-villette/159131517.htm
432000;0;1;2 ;38,02;https://www.seloger.com/annonces/achat/appartement/paris-15eme-75/vaugirard-parc-des-expositions/159134781.htm
325000;0;2;3 ;64,24;https://www.seloger.com/annonces/achat/appartement/rueil-malmaison-92/buzenval/159148663.htm
1092000;0;3;4 ;104;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-14eme-75/jean-moulin-porte-d-orleans/159150387/#?cmp=INTSL_ListToDetail
535000;0;1;2 ;40,1;https://www.seloger.com/annonces/achat-de-prestige/appartement/paris-17eme-75/pereire-malesherbes/159159003.htm
2300000;0;4;6 ;160;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/neuilly-sur-seine-92/la-plaine-des-sablons/159163487/#?cmp=INTSL_ListToDetail
890000;0;2;3 ;75;https://www.seloger.com/annonces/achat/appartement/neuilly-sur-seine-92/la-plaine-des-sablons/159163495.htm
650000;0;2;3 ;51;https://www.seloger.com/annonces/achat/appartement/neuilly-sur-seine-92/la-plaine-des-sablons/159163501.htm
