data-prix;data-idannonce;data-nb_chambres;data-nb_pieces;data-surface
798000;0;3;5 ;102
577000;0;2;4 ;84
664000;0;2;3 ;75
640000;0;1;3 ;53
350000;0;1;2 ;22,3
749000;0;2;3 ;56
768000;0;2;4 ;88,17
830000;0;2;3 ;73,88
530000;0;3;4 ;78,56
420000;0;2;3 ;57
198200;0;1;3 ;75
146000;0;2;3 ;44
578000;0;2;3 ;61,12
655000;0;3;4 ;112
599000;0;3;5 ;82
465000;0;3;5 ;120
1379000;0;5;7 ;123,12
138000;0;1;2 ;56
799000;0;3;4 ;106,49
525000;0;1;2 ;57
429000;0;5;7 ;128
235000;0;2;3 ;105
262500;0;3;5 ;97
184000;0;2;3 ;62,18
6300000;0;1;5 ;230
170000;0;2;4 ;75,49
2640000;0;3;5 ;185
365000;0;4;5 ;144,89
3890000;0;4;6 ;254,02
339000;0;4;5 ;91
255900;0;2;3 ;54,93
5650000;0;4;9 ;377
798000;0;2;4 ;78,96
2800000;0;3;5 ;95
215000;0;3;5 ;77
165850;0;2;3 ;52,53
499000;0;2;3 ;66
395000;0;1;2 ;36
415000;0;1;2 ;39
398000;0;1;2 ;28,08
315000;0;2;3 ;74
955000;0;3;4 ;73
215000;0;4;5 ;95
1494000;0;2;4 ;121,55
635000;0;2;3 ;60
215000;0;2;3 ;61,77
1650000;0;3;4 ;121
1198000;0;3;5 ;147
349000;0;2;3 ;63
2150000;0;4;6 ;162
189500;0;2;4 ;66,13
780000;0;2;3 ;74
450000;0;4;5 ;112
420000;0;4;5 ;92
715000;0;1;2 ;60,48
178000;0;2;4 ;73,45
3750000;0;3;7 ;186,31
650000;0;2;3 ;64,21
299250;0;3;4 ;74,65
2995000;0;4;6 ;185
290000;0;2;3 ;69
745000;0;3;4 ;111
355000;0;2;3 ;73
410000;0;3;5 ;116
247900;0;2;3 ;69,86
229840;0;2;3 ;61,46
1510000;0;3;4 ;126
1375000;0;3;5 ;109,58
519000;0;2;3 ;54
250000;0;2;3 ;66,06
544000;0;1;2 ;46
2590000;0;4;7 ;203,04
830000;0;2;3 ;58
470000;0;4;5 ;98
129000;0;3;4 ;78
239500;0;2;5 ;80
665000;0;1;2 ;45,03
185900;0;3;4 ;81
629500;0;2;3 ;64
850000;0;2;3 ;77
545000;0;1;2 ;42
485000;0;1;2 ;45
270000;0;1;2 ;27,6
2173000;0;5;7 ;200
978000;0;2;3 ;80
2950000;0;6;8 ;245,03
730000;0;2;4 ;68
700000;0;2;3 ;61
659000;0;2;3 ;70
432000;0;1;2 ;38,02
325000;0;2;3 ;64,24
1092000;0;3;4 ;104
535000;0;1;2 ;40,1
2300000;0;4;6 ;160
890000;0;2;3 ;75
629500;0;2;3 ;64
