data-prix;data-idannonce;data-nb_chambres;data-nb_pieces;data-surface;data-link
2850;0;1;2 ;62;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/saint-thomas-d-aquin/157373005.htm
4950;0;4;6 ;167;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-17eme-75/courcelles-wagram/156101519/#?cmp=INTSL_ListToDetail
2338;0;2;3 ;82,5;https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/clignancourt-jules-joffrin/158903621.htm
2338;0;2;3 ;82,5;https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/clignancourt-jules-joffrin/158726545.htm
5200;0;3;5 ;120;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-15eme-75/dupleix-motte-picquet/158684197/#?cmp=INTSL_ListToDetail
3258;0;3;4 ;114;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-3eme-75/arts-et-metiers/157572675/#?cmp=INTSL_ListToDetail
1800;0;1;2 ;55;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/158805893.htm
3258;0;3;4 ;114;https://www.seloger.com/annonces/locations/appartement/paris-3eme-75/arts-et-metiers/157706111.htm
2350;0;1;2 ;60;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/courcelles-wagram/156683735.htm
4000;0;3;4 ;108;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/158807665.htm
2350;0;1;3 ;63;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/courcelles-wagram/158353407.htm
2789;0;2;3 ;95;https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/croulebarbe/158494307.htm
1206;0;1;2 ;40,45;https://www.seloger.com/annonces/locations/appartement/paris-19eme-75/secretan/157235339.htm
3470;0;3;5 ;121,12;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/158543479.htm
4200;0;2;3 ;103;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-6eme-75/saint-germain-des-pres/158726541/#?cmp=INTSL_ListToDetail
2750;0;2;3 ;66;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/courcelles-wagram/159041733.htm
4132;0;3;5 ;117;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/159209525.htm
1330;0;1;2 ;34,46;https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/aligre-gare-de-lyon/157390441.htm
4692;0;2;4 ;126,33;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/ternes-maillot/158669687.htm
1121;0;1;2 ;39,67;https://www.seloger.com/annonces/locations/appartement/paris-20eme-75/belleville/157575345.htm
4500;0;3;4 ;115;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/157680871.htm
1130;0;1;2 ;44,57;https://www.seloger.com/annonces/locations/appartement/paris-20eme-75/amandiers/156688557.htm
4665;0;3;4 ;149;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/157182099.htm
11253;0;4;7 ;277,15;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-8eme-75/saint-philippe-du-roule/157283083/#?cmp=INTSL_ListToDetail
2070;0;1;2 ;48;https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/hoche-friedland/156325165.htm
1900;0;1;2 ;43;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/157556987.htm
4210;0;3;5 ;119;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/courcelles-wagram/158353409.htm
2600;0;2;3 ;74;https://www.seloger.com/annonces/locations/appartement/paris-1er-75/vendome/158392315.htm
3900;0;3;4 ;116;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-8eme-75/hoche-friedland/158802167/#?cmp=INTSL_ListToDetail
6240;0;5;8 ;246;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/158974793.htm
5330;0;4;5 ;151;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-17eme-75/pereire-malesherbes/159019599/#?cmp=INTSL_ListToDetail
6300;0;3;5 ;200;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-17eme-75/pereire-malesherbes/152982351/#?cmp=INTSL_ListToDetail
2194;0;2;3 ;72;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/violet-commerce/153937011.htm
4130;0;3;4 ;110,58;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/155088005.htm
21000;0;4;6 ;280;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-7eme-75/invalides/157234843/#?cmp=INTSL_ListToDetail
2850;0;1;2 ;62;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/saint-thomas-d-aquin/157240411.htm
2000;0;1;2 ;50;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/notre-dame-des-champs/158491849.htm
4500;0;3;5 ;135;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/158514057.htm
1300;0;1;2 ;45;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/vaugirard-parc-des-expositions/159227037.htm
4000;0;2;3 ;84,18;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-8eme-75/triangle-d-or/123669681/#?cmp=INTSL_ListToDetail
1490;0;1;2 ;35,69;https://www.seloger.com/annonces/locations/appartement/paris-2eme-75/montorgueil-saint-denis/158591523.htm
2500;0;2;3 ;58,4;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/159006483.htm
3700;0;3;5 ;114;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-16eme-75/auteuil-nord/159006811/#?cmp=INTSL_ListToDetail
3706;0;2;4 ;107,76;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/159061689.htm
1610;0;2;3 ;58,29;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/violet-commerce/159153581.htm
1550;0;1;2 ;54;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-sud/159210365.htm
2250;0;1;3 ;66;https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/porte-saint-denis-paradis/159255251.htm
2000;0;1;2 ;49;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/152339855.htm
950;0;1;2 ;24;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/batignolles-cardinet/156131671.htm
6950;0;4;6 ;155;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-7eme-75/gros-caillou/158721803/#?cmp=INTSL_ListToDetail
2990;0;1;2 ;55;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/monnaie/158768477.htm
4330;0;4;5 ;158;https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/saint-philippe-du-roule/140648971.htm
5000;0;4;7 ;174;https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/saint-philippe-du-roule/151036635.htm
2900;0;1;3 ;60;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/odeon/116157319.htm
4500;0;2;4 ;95,41;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-7eme-75/invalides/146450435/#?cmp=INTSL_ListToDetail
4000;0;2;3 ;104;https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/lafayette-richer/150290141.htm
4550;0;3;5 ;155;https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/clichy-trinite/152049233.htm
5500;0;3;5 ;130;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/saint-placide/153995861.htm
3500;0;2;4 ;85;https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/raspail-montparnasse/154206891.htm
1750;0;1;2 ;42;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/notre-dame-des-champs/154206897.htm
6000;0;4;6 ;173;https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/provence-opera/154490501.htm
2420;0;2;3 ;62;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/violet-commerce/155517083.htm
3000;0;2;4 ;84,45;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-17eme-75/pereire-malesherbes/155358253/#?cmp=INTSL_ListToDetail
4000;0;3;4 ;141;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-16eme-75/auteuil-sud/156982313/#?cmp=INTSL_ListToDetail
3280;0;4;5 ;108,51;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/emeriau-zola/156983855.htm
1850;0;1;2 ;55;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/157141699.htm
4460;0;4;6 ;130;https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/ile-saint-louis/157558203.htm
10000;0;3;5 ;182;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-1er-75/palais-royal/157565471/#?cmp=INTSL_ListToDetail
2320;0;1;3 ;69;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/notre-dame-des-champs/158906837.htm
2000;0;1;2 ;35,17;https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/triangle-d-or/158912073.htm
2500;0;1;2 ;63;https://www.seloger.com/annonces/locations/appartement/paris-3eme-75/archives/158974513.htm
2500;0;2;4 ;90;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/cambronne-garibaldi/159004565.htm
4200;0;3;5 ;110;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-7eme-75/ecole-militaire/159005979/#?cmp=INTSL_ListToDetail
6980;0;4;6 ;205;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-8eme-75/mairie/159007481/#?cmp=INTSL_ListToDetail
6000;0;4;7 ;185;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-9eme-75/clichy-trinite/159021399/#?cmp=INTSL_ListToDetail
1530;0;1;2 ;37,18;https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/grandes-carrieres-clichy/159105049.htm
1790;0;2;3 ;55;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/159209899.htm
2750;0;2;3 ;70;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/odeon/113519009.htm
3500;0;2;4 ;65;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/saint-thomas-d-aquin/153344889.htm
2200;0;1;2 ;44;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/saint-thomas-d-aquin/153470551.htm
3600;0;2;4 ;100;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/91160173.htm
2315;0;2;4 ;84;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/alleray-procession/155740929.htm
2400;0;1;2 ;67;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/156185895.htm
2200;0;1;3 ;62;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/cambronne-garibaldi/154577549.htm
1569;0;1;2 ;53;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/dupleix-motte-picquet/154932471.htm
8700;0;4;5 ;165;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/155826495.htm
1600;0;1;2 ;40;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/legendre-levis/156145889.htm
2500;0;1;2 ;49;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/158409875.htm
2600;0;1;2 ;35;https://www.seloger.com/annonces/locations/appartement/paris-3eme-75/enfants-rouges/153610017.htm
4200;0;4;6 ;142;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-sud/155079813.htm
2160;0;1;2 ;45;https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/triangle-d-or/157942119.htm
2183;0;1;3 ;67;https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/montmartre/158774621.htm
1750;0;1;3 ;61;https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/grandes-carrieres-clichy/159087607.htm
2764;0;2;3 ;87;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/bois-de-boulogne/159133509.htm
2900;0;1;2 ;55;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/ecole-militaire/158768475.htm
2100;0;1;2 ;35;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/saint-thomas-d-aquin/156200717.htm
4100;0;2;3 ;75;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/odeon/154272901.htm
3000;0;2;4 ;100;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/legendre-levis/74954265.htm
2167;0;2;3 ;77;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/cambronne-garibaldi/159048411.htm
1600;0;1;2 ;57;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/157436893.htm
1200;0;1;2 ;29;https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/montmartre/155690011.htm
3025;0;4;6 ;114;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/pasteur-montparnasse/158802177.htm
2910;0;3;4 ;94,71;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/monnaie/158839123.htm
6738;0;4;7 ;200;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-16eme-75/porte-dauphine/156867711/#?cmp=INTSL_ListToDetail
1763;0;1;2 ;65;https://www.seloger.com/annonces/locations/appartement/paris-5eme-75/jardin-des-plantes/158494305.htm
4400;0;2;3 ;101,1;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/saint-thomas-d-aquin/156691457.htm
2950;0;2;3 ;65;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/157195431.htm
3100;0;1;2 ;62;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/saint-germain-des-pres/102140669.htm
1507;0;1;3 ;79;https://www.seloger.com/annonces/locations/appartement/paris-20eme-75/saint-blaise/146022189.htm
3090;0;3;4 ;89;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/150001725.htm
4910;0;3;5 ;153;https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/155142521.htm
3760;0;3;5 ;127;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-16eme-75/auteuil-sud/155903647/#?cmp=INTSL_ListToDetail
1400;0;1;2 ;43;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/156214847.htm
3800;0;3;5 ;125;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/cambronne-garibaldi/156301529.htm
2595;0;2;3 ;85,58;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/cambronne-garibaldi/157042939.htm
5500;0;3;4 ;160;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/157103487.htm
3000;0;2;3 ;87;https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/croulebarbe/157179935.htm
3140;0;2;3 ;90;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/151685907.htm
3500;0;2;4 ;90;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/154995741.htm
2500;0;2;4 ;67,89;https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/mairie/156292809.htm
2235;0;1;2 ;54;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/pereire-malesherbes/156627625.htm
1144;0;1;2 ;34,14;https://www.seloger.com/annonces/locations/appartement/paris-20eme-75/gambetta/156671791.htm
1950;0;2;3 ;55;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/champerret-berthier/156769945.htm
1035;0;1;2 ;32;https://www.seloger.com/annonces/locations/appartement/paris-19eme-75/flandre-aubervilliers/156773983.htm
3700;0;3;5 ;111;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/pasteur-montparnasse/155736171.htm
3040;0;3;4 ;107;https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/buttes-aux-cailles-glaciere/155760177.htm
8500;0;4;6 ;167;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-6eme-75/odeon/155819331/#?cmp=INTSL_ListToDetail
1600;0;1;2 ;36,88;https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/grandes-carrieres-clichy/157532223.htm
6000;0;2;3 ;120;https://www.seloger.com/annonces/locations/appartement/paris-1er-75/palais-royal/157655049.htm
2230;0;2;4 ;76;https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/bel-air-nord/154992727.htm
1990;0;1;2 ;56;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/violet-commerce/155169469.htm
3190;0;2;3 ;93;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/155243181.htm
4500;0;3;4 ;114;https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/republique-saint-ambroise/156125953.htm
1272;0;1;2 ;23,65;https://www.seloger.com/annonces/locations/appartement/paris-2eme-75/montorgueil-saint-denis/156853981.htm
1514;0;1;2 ;41;https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/louis-blanc-aqueduc/157375303.htm
3645;0;3;4 ;91;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/157718509.htm
1995;0;2;3 ;57;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/157966449.htm
1304;0;1;2 ;32;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/156226661.htm
1800;0;1;2 ;50;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-nord/156993303.htm
2972;0;3;4 ;83;https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/aligre-gare-de-lyon/157751137.htm
7500;0;5;8 ;226;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/158808815.htm
2200;0;1;2 ;55;https://www.seloger.com/annonces/locations/appartement/paris-9eme-75/lafayette-richer/158827093.htm
2340;0;1;2 ;66,84;https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/triangle-d-or/158839121.htm
1590;0;1;2 ;39;https://www.seloger.com/annonces/locations/appartement/paris-10eme-75/saint-vincent-de-paul-lariboisiere/153892687.htm
1699;0;1;2 ;47;https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/buttes-aux-cailles-glaciere/141924793.htm
1305;0;1;2 ;31,36;https://www.seloger.com/annonces/locations/appartement/paris-20eme-75/saint-blaise/158841445.htm
3200;0;2;3 ;86;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-16eme-75/auteuil-sud/158933457/#?cmp=INTSL_ListToDetail
13000;0;4;7 ;300;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-16eme-75/porte-dauphine/159187697/#?cmp=INTSL_ListToDetail
1700;0;2;3 ;63;https://www.seloger.com/annonces/locations/appartement/paris-13eme-75/bievres-sud-tolbiac/159203749.htm
1564;0;1;2 ;55;https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/clignancourt-jules-joffrin/158925763.htm
1000;0;1;2 ;34;https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/clignancourt-jules-joffrin/159084027.htm
3500;0;2;4 ;97;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/courcelles-wagram/158353411.htm
1510;0;1;2 ;42;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/pasteur-montparnasse/154255131.htm
1650;0;1;2 ;42;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/saint-placide/157240333.htm
1600;0;1;2 ;47;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/bois-de-boulogne/154349871.htm
3999;0;2;3 ;100;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/156216465.htm
1495;0;1;2 ;50;https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/156911143.htm
1590;0;1;2 ;49;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/emeriau-zola/134855641.htm
4500;0;2;4 ;98;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-7eme-75/gros-caillou/146911791/#?cmp=INTSL_ListToDetail
1950;0;1;2 ;59;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/152245899.htm
1700;0;1;2 ;44;https://www.seloger.com/annonces/locations/appartement/paris-5eme-75/sorbonne/153038475.htm
2340;0;1;2 ;75;https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/elysees-madeleine/154493947.htm
4290;0;2;4 ;110;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-7eme-75/gros-caillou/157309175/#?cmp=INTSL_ListToDetail
4500;0;3;4 ;115;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-16eme-75/muette-nord/157537181/#?cmp=INTSL_ListToDetail
3900;0;2;3 ;100,39;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/157554495.htm
4300;0;3;5 ;116;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-7eme-75/saint-thomas-d-aquin/158177981/#?cmp=INTSL_ListToDetail
4641;0;2;3 ;110;https://www.seloger.com/annonces/locations/appartement/paris-4eme-75/arsenal/155104259.htm
1900;0;1;2 ;42;https://www.seloger.com/annonces/locations/appartement/paris-1er-75/les-halles/155311495.htm
1180;0;1;2 ;42;https://www.seloger.com/annonces/locations/appartement/paris-12eme-75/jardin-de-reuilly/157664843.htm
1875;0;2;3 ;55;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/pasteur-montparnasse/157728441.htm
6000;0;3;5 ;200,1;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-9eme-75/lorette-martyrs/158268667/#?cmp=INTSL_ListToDetail
10343;0;5;7 ;318,2;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-8eme-75/elysees-madeleine/156430713/#?cmp=INTSL_ListToDetail
2200;0;1;2 ;50;https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/triangle-d-or/156593757.htm
1750;0;1;2 ;44,26;https://www.seloger.com/annonces/locations/appartement/paris-18eme-75/grandes-carrieres-clichy/156595655.htm
1320;0;1;2 ;42;https://www.seloger.com/annonces/locations/appartement/paris-19eme-75/flandre-aubervilliers/157076697.htm
5100;0;2;3 ;118;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-nord/157413357.htm
4400;0;2;3 ;115;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-3eme-75/sainte-avoie/157415333/#?cmp=INTSL_ListToDetail
3850;0;3;5 ;115;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/porte-dauphine/157573617.htm
1700;0;1;2 ;45;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/saint-placide/156597253.htm
2650;0;2;3 ;75;https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/mouton-duvernet/158432669.htm
2000;0;1;2 ;44;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/159067855.htm
4000;0;3;4 ;108;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/auteuil-sud/159178721.htm
5900;0;2;3 ;114;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-15eme-75/emeriau-zola/153486125/#?cmp=INTSL_ListToDetail
4900;0;2;3 ;106;https://www.seloger.com/annonces/locations/appartement/paris-8eme-75/europe/153239171.htm
5800;0;2;3 ;73;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/154295065.htm
6700;0;4;7 ;124;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-6eme-75/odeon/157584491/#?cmp=INTSL_ListToDetail
4000;0;2;3 ;75;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/155734029.htm
1750;0;1;2 ;50;https://www.seloger.com/annonces/locations/appartement/paris-11eme-75/nation-alexandre-dumas/155736167.htm
3565;0;2;5 ;114;https://www.bellesdemeures.com/annonces/location/appartement-luxe/paris-8eme-75/mairie/155740927/#?cmp=INTSL_ListToDetail
3450;0;2;3 ;87,3;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/muette-sud/156551075.htm
2780;0;3;4 ;96;https://www.seloger.com/annonces/locations/appartement/paris-17eme-75/legendre-levis/153214427.htm
3330;0;2;3 ;104;https://www.seloger.com/annonces/locations/appartement/paris-16eme-75/chaillot/156021627.htm
2480;0;1;2 ;53;https://www.seloger.com/annonces/locations/appartement/paris-14eme-75/mouton-duvernet/158409879.htm
1700;0;1;2 ;28;https://www.seloger.com/annonces/locations/appartement/paris-6eme-75/monnaie/159097303.htm
5950;0;2;4 ;114;https://www.seloger.com/annonces/locations/appartement/paris-15eme-75/seine-et-berges/153173833.htm
3000;0;2;4 ;70;https://www.seloger.com/annonces/locations/appartement/paris-7eme-75/gros-caillou/158060381.htm
